Unnamed: 0,Solvent,Solute,COSMO_RS,UNIFAC,mod_UNIFAC_Ly,mod_UNIFAC_Do,Abraham,HSP,Hildebrand,MOSCED,Literature,Ref,Solvent_SMILES,Solute_SMILES,key_ID,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30
2331,pentadecane nitrile,n-Nonane,0.542324291,0.364643114,0.412109651,0.615185639,,,,,0.66470325,"['[54] ', '[61] ']",CCCCCCCCCCCCCCC#N,CCCCCCCCC,CCCCCCCCCCCCCCC#N CCCCCCCCC,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid
2332,pentadecane nitrile,"2,5-dimethylheptane",0.500775288,0.364643114,0.412109651,0.615185639,,,,,0.553885113,[61] ,CCCCCCCCCCCCCCC#N,CCC(C)CCC(C)C,CCCCCCCCCCCCCCC#N CCC(C)CCC(C)C,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train
2333,pentadecane nitrile,Toluene,-0.083381609,-0.274436846,-0.139262067,-0.314710745,,,,,-0.356674944,[61] ,CCCCCCCCCCCCCCC#N,Cc1ccccc1,CCCCCCCCCCCCCCC#N Cc1ccccc1,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2334,pentadecane nitrile,Ethanol,1.729884066,1.011600912,1.095273387,1.854734268,,,,,1.477048724,[61] ,CCCCCCCCCCCCCCC#N,CCO,CCCCCCCCCCCCCCC#N CCO,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2335,pentadecane nitrile,"1,4-Dioxane",-0.010050336,0.246860078,0.113328685,0.104360015,,,,,0.019802627,[61] ,CCCCCCCCCCCCCCC#N,C1COCCO1,CCCCCCCCCCCCCCC#N C1COCCO1,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid
2336,pentadecane nitrile,2-Butanone,0.165514438,-0.186329578,0.019802627,0.029558802,,,,,-0.020202707,[61] ,CCCCCCCCCCCCCCC#N,CCC(C)=O,CCCCCCCCCCCCCCC#N CCC(C)=O,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2337,pentane nitrile,n-Hexane,1.684545385,1.238374231,1.244154594,1.547562509,,1.00063188,0.727548607,,1.547560245,"['[98] ', '[47] ']",CCCCC#N,CCCCCC,CCCCC#N CCCCCC,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2338,pentane nitrile,Cyclohexane,1.423108334,1.088561953,1.047318994,1.353254507,,0.802001585,0.113328685,,1.462096653,"['[98] ', '[47] ']",CCCCC#N,C1CCCCC1,CCCCC#N C1CCCCC1,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2339,pentane nitrile,Benzene,0.270027137,0.19062036,0.09531018,0.223143551,,0.662687973,-0.198450939,,0.067658648,"['[101] ', '[47] ']",CCCCC#N,c1ccccc1,CCCCC#N c1ccccc1,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train
2340,pentane nitrile,2-methyl-2-butene,0.891998039,0.845868268,0.832909123,1.047318994,,0.364643114,0.662687973,,1.036736885,[47] ,CCCCC#N,CC=C(C)C,CCCCC#N CC=C(C)C,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2341,pentane nitrile,"2-methyl-1,3-butadiene",0.542324291,0.431782416,0.444685821,0.39877612,,,,,0.615185639,[47] ,CCCCC#N,CC(=C)C=C,CCCCC#N CC(=C)C=C,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train
2342,Pentylamine,n-Heptane,0.819779831,0.625938431,0.636576829,0.765467842,,0.548121409,0.09531018,,0.78845736,[137] ,CCCCCN,CCCCCCC,CCCCCN CCCCCCC,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
